<-- Copyright Notice: (c) 2019 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201564,3,,Flat,1600,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,13:17:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",7,"Fine",334472,10,3,"Jingo","4","m",57.50,9,1.43.48,0.39.52,13.50," ","Kevin & Pam Hughes","Riccarton Park",21.20,0.00,0.00,"Dylan Turner",57.50,0.00,47,0,0,"Approved Plates, Lugging Bit, Blinkers",278342,"THEWAYYOUARE (USA) 2005",206827,"JINGLING (NZ) 1999",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201564,3,,Flat,1600,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,13:17:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",7,"Fine",300626,11,12,"Flags A Flying","7","m",57.50,14,1.44.66,0.40.39,20.70," ","Sarah Haisma","Rangiora",156.40,0.00,0.00,"Kin Kwo",54.50,3.00,45,0,0,"Approved Plates, Lugging Bit (1st time)",277609,"RAISE THE FLAG (GB) 2005",203031,"IZZY (NZ) 1998",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201564,3,,Flat,1600,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,13:17:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",7,"Fine",332476,12,8,"Icebreaker","4","m",57.50,8,1.43.30,0.39.22,12.40," ","Lance Robinson","Riccarton Park",34.50,0.00,0.00,"Terry Moseley",57.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Visor Blinkers (1st time)",226925,"ZED (NZ) 2002",261370,"LAVANDER PINK (NZ) 2007",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201564,3,,Flat,1600,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,13:17:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",7,"Fine",363913,13,2,"Iwonderwai","3","f",57.50,13,1.44.20,0.39.92,17.90," ","Alan Browne","Rangiora",164.20,0.00,0.00,"Doni Prastiyou",57.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Side Winkers on",241092,"ALAMOSA (NZ) 2004",242444,"WAIMARIE LASS (NZ) 2004",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201564,3,,Flat,1600,"MDN F&M","NZB INSURANCE PEARL SERIES RACE",10000.00,13:17:00,"N",,"Unrestricted","Maiden","f&m","sw","Slow",7,"Fine",348368,14,14,"Pushyaluck","3","f",57.50,6,1.43.18,0.38.75,11.70," ","Steven Woodsford","Rangiora",116.40,0.00,0.00,"Leah Hemi",57.50,0.00,45,0,0,"Approved Plates, Lugging Bit",300223,"ZACINTO (GB) 2006",224154,"PUSHY TOO (NZ) 2001",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201559,4,,Flat,1600,"Rating 72 Benchmark","MATT SMITH CONSTRUCTION",11000.00,13:51:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Fine",319822,1,3,"Trudeau","5","g",60.00,1,1.40.56,0.37.26,," NECK","Tony & Lyn Prendergast","West Melton",4.10,2.50,6875.00,"Jacob Lowry",60.00,0.00,72,0,0,"Approved Plates, Lugging Bit, Blinkers, Nose Band",211629,"PINS (AUS) 1996",265065,"PARIS CARVER (NZ) 2008",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201559,4,,Flat,1600,"Rating 72 Benchmark","MATT SMITH CONSTRUCTION",11000.00,13:51:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Fine",306561,2,7,"Final Say","6","g",59.50,5,1.41.79,0.38.69,7.20," ","Bevan & Robyn Wilson","Ashburton",4.60,0.00,275.00,"Kin Kwo",56.50,3.00,71,0,0,"Hoof Pads, Lugging Bit, Side Winkers, Nasal Strip, Tongue Tie",255627,"GALLANT GURU (AUS) 2002",254169,"SOUND DECISION (NZ) 2006",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201559,4,,Flat,1600,"Rating 72 Benchmark","MATT SMITH CONSTRUCTION",11000.00,13:51:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Fine",337919,3,6,"Mamma Sans","4","m",57.50,2,1.40.63,0.37.79,0.30," HEAD","Shane Kennedy & Anna Furlong","Riccarton Park",2.60,1.90,2200.00,"Tina Comignaghi",56.50,1.00,71,0,0,"Approved Plates, Lugging Bit",248656,"TAVISTOCK (NZ) 2005",238276,"TANZER (NZ) 2003",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201559,4,,Flat,1600,"Rating 72 Benchmark","MATT SMITH CONSTRUCTION",11000.00,13:51:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Fine",335317,4,2,"Hatrick Boys","4","g",57.50,3,1.40.65,0.37.54,0.50," 6 1/2 LEN","Terri Rae","Riccarton Park",4.90,0.00,1100.00,"Samantha Collett",57.50,0.00,67,0,0,"Concussion Plates, Lugging Bit, Blinkers, Tongue Tie",287689,"MAKFI (GB) 2007",238976,"SHYLOCK'S DAUGHTER (NZ) 2004",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201559,4,,Flat,1600,"Rating 72 Benchmark","MATT SMITH CONSTRUCTION",11000.00,13:51:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Fine",279764,5,1,"Redesdale","8","g",56.00,7,1.43.69,0.39.80,18.60," ","Kimberly Hampton","Ikamatua",19.50,0.00,0.00,"Chris Johnson",56.00,0.00,64,0,0,"Approved Plates, Hoof Pads (Front), Lugging Bit",264237,"LIBRETTIST (USA) 2002",238025,"MIRROR THE MAGIC (AUS) 1997",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201559,4,,Flat,1600,"Rating 72 Benchmark","MATT SMITH CONSTRUCTION",11000.00,13:51:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Fine",309628,6,4,"Yamato Nadeshiko","6","m",55.50,6,1.41.82,0.37.79,7.30," ","Jackie Burrows","Prebbleton",19.30,0.00,0.00,"Tanya Jonker",53.50,2.00,67,0,0,"Approved Plates, Lugging Bit",238720,"EKRAAR (USA) 1997",228888,"MILLY MOLLY (NZ) 2002",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201559,4,,Flat,1600,"Rating 72 Benchmark","MATT SMITH CONSTRUCTION",11000.00,13:51:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Fine",322778,7,5,"Amour La Vie","5","m",54.00,4,1.41.76,0.38.10,7.00," HEAD","Bruce Tapper","Timaru",21.50,0.00,550.00,"Rahul Beeharry",51.00,3.00,60,0,0,"Approved Plates, Standard Bit, Blinkers on",232838,"NO EXCUSE NEEDED (GB) 1998",262217,"VIVERE (NZ) 2007",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201566,5,,Flat,1200,"MDN","PALAMOUNTAINS ANIMAL NUTRITION",10000.00,14:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",382754,1,6,"Nero","4","g",58.50,9,1.15.71,0.39.41,9.20," ","Mike McCann","Riccarton Park",5.70,0.00,0.00,"Krishna Mudhoo",57.50,1.00,47,0,0,"Approved Plates, Concussion Plates (Front), Lugging Bit, Tongue Tie",287687,"SHOWCASING (GB) 2007",222583,"DIAMONDS AND RUST (NZ) 2001",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201566,5,,Flat,1200,"MDN","PALAMOUNTAINS ANIMAL NUTRITION",10000.00,14:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",323076,2,11,"He's Irish","5","g",58.50,10,1.15.85,0.40.06,10.10," ","Michael Osborne","West Melton",67.40,0.00,0.00,"Rohan Mudhoo",55.50,3.00,46,0,0,"Approved Plates, Lugging Bit, Nose Band",270278,"SAKHEE'S SECRET (GB) 2004",225579,"SNAABELLE (AUS) 1996",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201566,5,,Flat,1200,"MDN","PALAMOUNTAINS ANIMAL NUTRITION",10000.00,14:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",340168,3,14,"Stormboy","3","g",58.50,8,1.15.71,0.38.69,9.20," ","Danny Crozier","Riccarton Park",40.40,0.00,0.00,"BB Hong",55.50,3.00,45,0,0,"Approved Plates, Lugging Bit, Tongue Tie",276923,"BATTLE PAINT (USA) 2004",223868,"GREENSTONE (NZ) 2001",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201566,5,,Flat,1200,"MDN","PALAMOUNTAINS ANIMAL NUTRITION",10000.00,14:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",326962,4,5,"The Traveller","5","g",58.50,14,1.17.90,0.42.04,22.50," ","Tracey Hickey","Ashburton",75.10,0.00,0.00,"Jacob Lowry",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit",224608,"BRILLIANCE (USA) 1997",245297,"ROMANEE HEIGHTS (NZ) 2003",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201566,5,,Flat,1200,"MDN","PALAMOUNTAINS ANIMAL NUTRITION",10000.00,14:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",353797,5,12,"Ophelia Rose","3","f",56.50,6,1.15.47,0.39.47,7.80," ","Stephanie Clark","Timaru",5.90,0.00,0.00,"Kylie Williams",56.50,0.00,54,0,0,"Approved Plates, Norton Bit, Side Winkers",313563,"HIGHLY RECOMMENDED (AUS) 2008",211067,"WHEN THE CATS AWAY (NZ) 1999",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201566,5,,Flat,1200,"MDN","PALAMOUNTAINS ANIMAL NUTRITION",10000.00,14:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",350743,6,9,"Exclaim","3","f",56.50,4,1.14.53,0.38.29,2.10," 4 1/2 LEN","Lance Robinson","Riccarton Park",3.00,0.00,500.00,"Terry Moseley",56.50,0.00,53,0,0,"Approved Plates, Lugging Bit, Side Winkers",325222,"EXCELEBRATION (IRE) 2008",247575,"MAMMA'S LOVE (NZ) 2005",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201566,5,,Flat,1200,"MDN","PALAMOUNTAINS ANIMAL NUTRITION",10000.00,14:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",345008,8,1,"Decision Kept","3","f",56.50,7,1.15.59,0.39.20,8.50," ","Bevan & Robyn Wilson","Ashburton",12.70,0.00,0.00,"Courtney Barnes",56.50,0.00,50,0,0,"Approved Plates, Lugging Bit, Side Winkers (1st time)",222919,"KEEPER (AUS) 1997",254169,"SOUND DECISION (NZ) 2006",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201566,5,,Flat,1200,"MDN","PALAMOUNTAINS ANIMAL NUTRITION",10000.00,14:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",328442,9,10,"Castlereigh","4","m",56.50,13,1.16.91,0.41.08,16.50," ","Cheri Trembath","Ashburton",14.50,0.00,0.00,"Chris Johnson",56.50,0.00,47,0,0,"Approved Plates, Lugging Bit",268744,"BURGUNDY (NZ) 2008",233672,"DANSKEWITHU (NZ) 2003",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201566,5,,Flat,1200,"MDN","PALAMOUNTAINS ANIMAL NUTRITION",10000.00,14:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",339913,10,3,"Colette","3","f",56.50,1,1.14.16,0.37.97,," 1 1/2 LEN","Shane Kennedy & Anna Furlong","Riccarton Park",18.80,4.60,6250.00,"Tina Comignaghi",55.50,1.00,47,0,0,"Approved Plates, Tongue Control Bit, Side Winkers, Nose Band",248656,"TAVISTOCK (NZ) 2005",186241,"MY KINDA GIRL (NZ) 1995",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201566,5,,Flat,1200,"MDN","PALAMOUNTAINS ANIMAL NUTRITION",10000.00,14:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",333414,11,7,"Known To Flirt","4","m",56.50,2,1.14.41,0.38.36,1.50," 1/2 NECK","Les and Richard Didham","Riccarton Park",13.70,3.70,2000.00,"Jason Laking",56.50,0.00,47,0,0,"Approved Plates, Lugging Bit, Side Winkers on",232838,"NO EXCUSE NEEDED (GB) 1998",249134,"FLIRTING (NZ) 2005",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201566,5,,Flat,1200,"MDN","PALAMOUNTAINS ANIMAL NUTRITION",10000.00,14:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",351528,12,4,"Miss Atomic Bomb","3","f",56.50,11,1.16.25,0.40.44,12.50," ","Lance Robinson","Riccarton Park",24.00,0.00,0.00,"Lee Callaway",56.50,0.00,46,0,0,"Approved Plates, Lugging Bit, Blinkers",313563,"HIGHLY RECOMMENDED (AUS) 2008",260562,"ALMOST PERSUADED (NZ) 2007",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201566,5,,Flat,1200,"MDN","PALAMOUNTAINS ANIMAL NUTRITION",10000.00,14:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",349993,15,13,"Heartoheart","3","f",56.50,12,1.16.78,0.40.95,15.70," ","Michael & Matthew Pitman","Yaldhurst, Riccarton Park",29.70,0.00,0.00,"Kavish Chowdhoory",53.50,3.00,45,0,0,"Barrier Blindfold (1st time), Approved Plates, Lugging Bit",285139,"SWISS ACE (AUS) 2004",313498,"MISS HEARTBEAT (AUS) 2009",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201566,5,,Flat,1200,"MDN","PALAMOUNTAINS ANIMAL NUTRITION",10000.00,14:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",350810,17,2,"Bernini (AUS)","3","g",58.50,3,1.14.45,0.38.64,1.70," LONG NECK","Tony & Lyn Prendergast","West Melton",10.90,2.70,1000.00,"Samantha Collett",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Side Winkers",264285,"BERNARDINI (USA) 2003",279068,"EQUESTRIENNE (NZ) 2010",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201566,5,,Flat,1200,"MDN","PALAMOUNTAINS ANIMAL NUTRITION",10000.00,14:27:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",327425,18,8,"Divinexcuse","4","g",58.50,5,1.15.27,0.39.50,6.60," ","Steven Woodsford","Rangiora",49.50,0.00,250.00,"Leah Hemi",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit",232838,"NO EXCUSE NEEDED (GB) 1998",250536,"TSINGANA (NZ) 2005",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201560,6,,Flat,1200,"Rating 72 Benchmark","HANLEY FORMULA AUTUMN SPRINT",11000.00,15:02:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Fine",306410,1,11,"Celtic Cross","6","m",59.50,6,1.14.39,0.37.78,4.40," ","Andrew Carston","Riccarton Park",12.10,0.00,0.00,"Kozzi Asano",55.50,4.00,75,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",222919,"KEEPER (AUS) 1997",224849,"CELTIC ROSE (NZ) 2001",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201560,6,,Flat,1200,"Rating 72 Benchmark","HANLEY FORMULA AUTUMN SPRINT",11000.00,15:02:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Fine",331293,2,10,"Beneficial","4","m",59.00,7,1.14.43,0.37.11,4.70," ","Ross Beckett","Yaldhurst",6.40,0.00,0.00,"Terry Moseley",59.00,0.00,74,0,0,"Approved Plates, Lugging Bit",313563,"HIGHLY RECOMMENDED (AUS) 2008",241342,"LA GENEROSE (NZ) 2004",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201560,6,,Flat,1200,"Rating 72 Benchmark","HANLEY FORMULA AUTUMN SPRINT",11000.00,15:02:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Fine",287794,3,2,"Czarista","8","m",58.50,12,1.14.87,0.37.97,7.30," ","Mark Harris","Tuahiwi",14.20,0.00,0.00,"Tina Comignaghi",57.50,1.00,73,0,0,"Approved Plates, Lugging Bit, Blinkers on",256344,"FAST 'N' FAMOUS (AUS) 2002",200852,"RUSSIAN EMBASSY (AUS) 1998",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201560,6,,Flat,1200,"Rating 72 Benchmark","HANLEY FORMULA AUTUMN SPRINT",11000.00,15:02:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Fine",327249,4,9,"Miss Brahmos","4","m",58.00,5,1.14.38,0.36.98,4.40," ","Terri Rae","Riccarton Park",4.40,0.00,275.00,"Samantha Collett",58.00,0.00,72,0,0,"Approved Plates, Lugging Bit, Blinkers",302053,"SMART MISSILE (AUS) 2008",325981,"FOREVER HAILEY (AUS) 2008",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201560,6,,Flat,1200,"Rating 72 Benchmark","HANLEY FORMULA AUTUMN SPRINT",11000.00,15:02:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Fine",316784,5,13,"Augustace","5","g",57.50,10,1.14.53,0.37.65,5.30," ","Sharon Robertson","Riccarton Park",36.10,0.00,0.00,"Sanu Toolooa",53.50,4.00,67,0,0,"Approved Plates, Lugging Bit",285139,"SWISS ACE (AUS) 2004",227833,"KIRI (NZ) 2002",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201560,6,,Flat,1200,"Rating 72 Benchmark","HANLEY FORMULA AUTUMN SPRINT",11000.00,15:02:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Fine",306562,6,4,"Born A Royal","6","g",57.50,8,1.14.46,0.37.30,4.90," ","Bevan & Robyn Wilson","Ashburton",16.60,0.00,0.00,"Kin Kwo",54.50,3.00,67,0,0,"Approved Plates, Lugging Bit, Visor Blinkers, Nasal Strip",278342,"THEWAYYOUARE (USA) 2005",202985,"ROYAL MADAM (NZ) 1998",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201560,6,,Flat,1200,"Rating 72 Benchmark","HANLEY FORMULA AUTUMN SPRINT",11000.00,15:02:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Fine",296068,7,3,"Docket","7","g",57.50,14,1.15.27,0.38.57,9.80," ","Bruce Tapper","Timaru",17.10,0.00,0.00,"Rahul Beeharry",54.50,3.00,67,0,0,"Approved Plates, Lugging Bit, Tongue Tie",255989,"IFFRAAJ (GB) 2001",207144,"COUPON (AUS) 1999",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201560,6,,Flat,1200,"Rating 72 Benchmark","HANLEY FORMULA AUTUMN SPRINT",11000.00,15:02:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Fine",350859,8,5,"Frankie The Fox","3","g",57.50,2,1.13.88,0.36.24,1.50," 1 1/4 LEN","Mike McCann","Riccarton Park",6.10,2.30,2200.00,"Rohan Mudhoo",54.50,3.00,67,0,0,"Approved Plates, Concussion Plates (Front), Lugging Bit, Blinkers, Tongue Tie",247685,"EGO (NZ) 2005",264816,"IMPACT (NZ) 2008",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201560,6,,Flat,1200,"Rating 72 Benchmark","HANLEY FORMULA AUTUMN SPRINT",11000.00,15:02:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Fine",311643,9,1,"Turncoat","6","g",57.50,1,1.13.62,0.37.52,," 1 1/2 LEN","Michael & Matthew Pitman","Yaldhurst, Riccarton Park",11.30,3.80,6875.00,"Lee Callaway",57.50,0.00,67,0,0,"Approved Plates, Lugging Bit, Side Winkers",285139,"SWISS ACE (AUS) 2004",240110,"MIZ MONROE (NZ) 2004",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201560,6,,Flat,1200,"Rating 72 Benchmark","HANLEY FORMULA AUTUMN SPRINT",11000.00,15:02:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Fine",336906,10,8,"Pipiana","4","m",57.00,3,1.14.08,0.38.25,2.80," 1 1/4 LEN","Michael & Matthew Pitman","Yaldhurst, Riccarton Park",10.10,3.20,1100.00,"Kavish Chowdhoory",54.00,3.00,70,0,0,"Approved Plates, Lugging Bit",313563,"HIGHLY RECOMMENDED (AUS) 2008",251260,"ENTHUSABELLE (AUS) 2006",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201560,6,,Flat,1200,"Rating 72 Benchmark","HANLEY FORMULA AUTUMN SPRINT",11000.00,15:02:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Fine",336511,11,12,"Juliette","4","m",55.50,4,1.14.31,0.37.17,4.10," NECK","Terry Kennedy","Wingatui",14.70,0.00,550.00,"Chris Johnson",55.50,0.00,67,0,0,"Approved Plates, Lugging Bit, Side Winkers",311714,"POET'S VOICE (GB) 2007",315024,"REDSCILLA (AUS) 2007",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201560,6,,Flat,1200,"Rating 72 Benchmark","HANLEY FORMULA AUTUMN SPRINT",11000.00,15:02:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Fine",323951,12,6,"Rocette Lady","5","m",55.50,13,1.15.00,0.38.10,8.10," ","Brett Inglis","Timaru",18.70,0.00,0.00,"Leah Hemi",55.50,0.00,67,0,0,"Approved Plates, Lugging Bit, Blinkers",242640,"ROC DE CAMBES (NZ) 2004",223731,"TAUPAKI FLIGHT (NZ) 2001",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201560,6,,Flat,1200,"Rating 72 Benchmark","HANLEY FORMULA AUTUMN SPRINT",11000.00,15:02:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Fine",349213,13,14,"Miroslava","3","f",54.00,9,1.14.47,0.36.84,4.90," ","Kenny Moore","Rangiora",41.70,0.00,0.00,"Tanya Jonker",52.00,2.00,57,0,0,"Approved Plates, Lugging Bit, Blinkers",285139,"SWISS ACE (AUS) 2004",277766,"HAVANA MISS (AUS) 2000",
47563,2019-05-10,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC10 MAY","Dead",6,"Fine","True | 1mm Rain Overnight",201560,6,,Flat,1200,"Rating 72 Benchmark","HANLEY FORMULA AUTUMN SPRINT",11000.00,15:02:00,"N",54.00,"Unrestricted","Rating 72","unrestricted","hcp","Slow",7,"Fine",320555,14,7,"Whitney","5","m",54.00,11,1.14.74,0.36.84,6.60," ","Karen Peters","Riccarton Park",82.50,0.00,0.00,"Doni Prastiyou",54.00,0.00,55,0,0,"Approved Plates, Lugging Bit, Side Winkers",287687,"SHOWCASING (GB) 2007",243669,"DESERT HEART (NZ) 2004",
