<-- Copyright Notice: (c) 2021 New Zealand Thoroughbred Racing. -->

MeetingID,Date,JetBet,Track,DayType,MeetingType,Club,MeetingName,TrackCondition,TrackConditionScale,TrackWeather,Rail,RaceID,RaceNumber,RaceGroup,RaceType,Distance,RaceClass,RaceName,Stake,Time,NoAllowances,MinWeight,ClassAge,Class,ClassGender,ClassWeight,RaceTrackCondition,RaceTrackConditionScale,RaceWeather,HorseID,ToteNumber,Barrier,HorseName,Age,Gender,Weight,Finishingposition,Actualtime,Last600mTime,Decimalmargin,Traditionalmargin,Trainer,TrainerLocation,StartingPriceWin,StartingPricePlace,Stake,JockeyName,CarriedWeight,WeightDifference,DomesticRating,HurdlesRating,SteeplesRating,GearWorn,SireID,Sire,DamID,Dam
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211553,4,,Flat,1250,"MDN","LIQUORLAND RACECOURSE ROAD",10000.00,14:17:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",381129,6,6,"Seraphic","3","g",58.50,3,1.17.68,0.37.59,4.60," 1 LEN","Paul Harris","Rangiora",21.70,3.90,700.00,"Lee Callaway",58.50,0.00,47,0,0,"Ear Covers Pre-Race (1st time), Approved Plates, Lugging Bit, Visor Blinkers (1st time)",313563,"HIGHLY RECOMMENDED (AUS) 2008",250388,"SHOWUSYAHALO (NZ) 2003",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211553,4,,Flat,1250,"MDN","LIQUORLAND RACECOURSE ROAD",10000.00,14:17:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",364873,7,11,"Lachie's Mate","4","g",58.50,7,1.18.39,0.37.03,8.80," ","Kevin & Pam Hughes","Riccarton Park",62.60,0.00,200.00,"Kin Kwo",56.50,2.00,46,0,0,"Approved Plates, Lugging Bit, Side Winkers",300223,"ZACINTO (GB) 2006",289448,"LIBBY SURPRIZE (NZ) 2011",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211553,4,,Flat,1250,"MDN","LIQUORLAND RACECOURSE ROAD",10000.00,14:17:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",363000,8,10,"Aorangi Assassin","4","g",58.50,11,1.23.18,0.41.41,36.70," ","Pat Collins","Timaru",81.10,0.00,200.00,"Daniel Bothamley",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit",287687,"SHOWCASING (GB) 2007",191110,"QUEDAR (NZ) 1996",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211553,4,,Flat,1250,"MDN","LIQUORLAND RACECOURSE ROAD",10000.00,14:17:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",376770,9,9,"Pikey Princess","3","f",56.50,6,1.18.35,0.37.82,8.60," ","Amanda Higgins","Ashburton",47.50,0.00,200.00,"Meghann Gestain",52.50,4.00,49,0,0,"Approved Plates, Tongue Control Bit, Blinkers (1st time), Tongue Tie",268744,"BURGUNDY (NZ) 2008",267013,"JAZZCAT (NZ) 2008",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211553,4,,Flat,1250,"MDN","LIQUORLAND RACECOURSE ROAD",10000.00,14:17:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",381093,10,3,"Bealey Inn","3","f",56.50,10,1.19.49,0.38.59,15.20," ","Steven Woodsford","Rangiora",72.30,0.00,200.00,"Akshay Balloo",56.50,0.00,45,0,0,"Approved Plates, Tongue Control Bit, Side Winkers, Shadow Roll",287450,"SHOCKING (AUS) 2005",351645,"PRADO RED (AUS) 2012",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211553,4,,Flat,1250,"MDN","LIQUORLAND RACECOURSE ROAD",10000.00,14:17:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",360963,11,4,"Miss Harley Quinn","4","m",56.50,2,1.17.33,0.36.91,2.30," 2 1/4 LEN","Leonard Stewart","Timaru",9.40,2.10,1500.00,"Sam Weatherley",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Ear Covers, Nasal Strip, Tongue Tie",313390,"NATURAL DESTINY (AUS) 2002",258282,"MISS SAN JOSE (NZ) 2007",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211553,4,,Flat,1250,"MDN","LIQUORLAND RACECOURSE ROAD",10000.00,14:17:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",379048,12,1,"Movie Star","3","f",56.50,9,1.18.75,0.37.76,10.90," ","Danny Crozier","Riccarton Park",18.00,0.00,200.00,"Krishna Mudhoo",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers (1st time), Tongue Tie (1st time)",287687,"SHOWCASING (GB) 2007",278125,"THEATRICS (AUS) 2009",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211553,4,,Flat,1250,"MDN","LIQUORLAND RACECOURSE ROAD",10000.00,14:17:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",380912,13,2,"Ultimate","3","g",58.50,8,1.18.67,0.37.74,10.40," ","Michael & Matthew Pitman","Yaldhurst, Riccarton Park",21.40,0.00,200.00,"Kavish Chowdhoory",57.50,1.00,45,0,0,"Approved Plates, Standard Bit, Cheek Burrs",302210,"DALGHAR (FR) 2006",282494,"PERFECT JAZZ (NZ) 2010",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",212077,5,,Flat,1250,"MDN","HYGAIN",10000.00,14:57:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",366929,2,8,"Elizabeth Rose","3","f",56.50,2,1.18.35,0.36.19,1.50," NECK","Shane Kennedy & Anna Furlong","Riccarton Park",1.60,1.10,1500.00,"Samantha Wynne",56.50,0.00,62,0,0,"Approved Plates, Lugging Bit, Nose Band (1st time)",350875,"CONTRIBUTER (IRE) 2010",236963,"SCARLET QUEEN (AUS) 2003",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",212077,5,,Flat,1250,"MDN","HYGAIN",10000.00,14:57:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",359527,3,4,"Kamenna","4","m",56.50,3,1.18.40,0.36.86,1.80," 2 1/4 LEN","Terry Kennedy","Wingatui",7.60,1.80,700.00,"Sam Weatherley",56.50,0.00,52,0,0,"Approved Plates, Lugging Bit",255989,"IFFRAAJ (GB) 2001",241805,"O'RUBY (NZ) 2004",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",212077,5,,Flat,1250,"MDN","HYGAIN",10000.00,14:57:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",381228,4,9,"Sweet Fields (AUS)","4","m",56.50,1,1.18.10,0.36.34,," 1 1/2 LEN","Ryan Thistoll","Riccarton Park",6.40,1.70,5800.00,"Rohan Mudhoo",54.50,2.00,52,0,0,"Ear Covers Pre-Race, Approved Plates, Concussion Plates (Front), Lugging Bit, Side Winkers, Nasal Strip",345678,"DEEP FIELD (AUS) 2010",313023,"SWEET MARTINI (NZ) 2012",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",212077,5,,Flat,1250,"MDN","HYGAIN",10000.00,14:57:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",357122,6,2,"Harleen Quinzel","4","m",56.50,8,1.20.09,0.38.33,11.90," ","Leonard Stewart","Timaru",20.10,0.00,200.00,"Chris Johnson",56.50,0.00,48,0,0,"Approved Plates, Lugging Bit, Blinkers",230462,"DARCI BRAHMA (NZ) 2002",266577,"VENDEMIAIRE (NZ) 2008",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",212077,5,,Flat,1250,"MDN","HYGAIN",10000.00,14:57:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",374173,7,12,"Lady Cora","3","f",56.50,7,1.19.95,0.38.31,11.00," ","Lance Robinson","Riccarton Park",9.00,0.00,200.00,"Tanya Jonker",56.50,0.00,47,0,0,"Ear Covers Pre-Race, Approved Plates, Tongue Control Bit",300680,"POUR MOI (IRE) 2008",269016,"CORA LYNN (NZ) 2008",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",212077,5,,Flat,1250,"MDN","HYGAIN",10000.00,14:57:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",372348,8,11,"Green Express","3","f",56.50,5,1.18.85,0.36.97,4.60," ","Steven Woodsford","Rangiora",32.90,0.00,200.00,"Corey Campbell",55.50,1.00,46,0,0,"Approved Plates, Lugging Bit, Side Winkers (1st time)",271558,"SHAMEXPRESS (NZ) 2009",245021,"MISS GREENSTREET (NZ) 2005",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",212077,5,,Flat,1250,"MDN","HYGAIN",10000.00,14:57:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",352283,9,6,"Sheza Pro","4","m",56.50,9,1.20.27,0.37.99,12.90," ","Kenny Moore","Rangiora",31.80,0.00,200.00,"Akshay Balloo",56.50,0.00,46,0,0,"Approved Plates, Butterfly Bit (1st time), Blinkers, Ear Covers, Nasal Strip",337555,"PROISIR (AUS) 2009",307861,"SHEZA WARRIOR (NZ) 2012",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",212077,5,,Flat,1250,"MDN","HYGAIN",10000.00,14:57:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",352351,10,1,"Amadi Lass","5","m",56.50,6,1.19.45,0.37.93,8.10," ","Neil Coulbeck","Leithfield",27.90,0.00,200.00,"Kylie Williams",56.50,0.00,45,0,0,"Approved Plates, Tongue Control Bit (1st time)",211629,"PINS (AUS) 1996",311709,"JELLY (AUS) 2008",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",212077,5,,Flat,1250,"MDN","HYGAIN",10000.00,14:57:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",379898,11,3,"Nellie Grey","4","m",56.50,11,1.20.96,0.38.32,16.90," ","Pat Collins","Timaru",84.90,0.00,200.00,"Lee Callaway",56.50,0.00,45,0,0,"Approved Plates, Lugging Bit",255433,"PERFECTLY READY (AUS) 2002",280454,"SILVER SHADOW (NZ) 2010",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",212077,5,,Flat,1250,"MDN","HYGAIN",10000.00,14:57:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",380776,12,7,"Truthbetold","3","f",56.50,10,1.20.70,0.38.68,15.40," ","Russell McKay & Ashley Harrington","Riccarton Park",105.30,0.00,200.00,"Courtney Barnes",56.50,0.00,45,0,0,"Ear Covers Pre-Race, Approved Plates, Lugging Bit, Blinkers",325005,"PURE CHAMPION (IRE) 2007",297178,"TELL ME LIES (NZ) 2011",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",212077,5,,Flat,1250,"MDN","HYGAIN",10000.00,14:57:00,"N",,"Unrestricted","Maiden","unrestricted","sw","Slow",7,"Fine",379071,14,5,"All Lit Up","3","g",58.50,4,1.18.75,0.36.71,4.10," 1/2 LEN","John & Karen Parsons","Balcairn",57.00,0.00,400.00,"Jason Laking",58.50,0.00,45,0,0,"Approved Plates, Lugging Bit, Blinkers",313563,"HIGHLY RECOMMENDED (AUS) 2008",247379,"FIRELIGHT (NZ) 2005",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211548,6,,Flat,2200,"Rating 65&JMPS Benchmark*","GARY McCORMICK/GRAEME FECHNEY",10000.00,15:29:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",361859,2,3,"Jack Be Quick","4","g",59.00,6,2.25.79,0.38.94,10.20," ","John & Karen Parsons","Balcairn",3.40,0.00,200.00,"Meghann Gestain",55.00,4.00,63,0,0,"Approved Plates, Lugging Bit, Side Winkers (1st time)",324908,"JAKKALBERRY (IRE) 2006",279063,"LEZANI (AUS) 2008",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211548,6,,Flat,2200,"Rating 65&JMPS Benchmark*","GARY McCORMICK/GRAEME FECHNEY",10000.00,15:29:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",334472,3,4,"Jingo","6","m",58.00,9,2.27.66,0.40.30,21.10," ","Kevin & Pam Hughes","Riccarton Park",29.20,0.00,200.00,"Kin Kwo",56.00,2.00,63,0,0,"Approved Plates, Lugging Bit, Side Winkers",278342,"THEWAYYOUARE (USA) 2005",206827,"JINGLING (NZ) 1999",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211548,6,,Flat,2200,"Rating 65&JMPS Benchmark*","GARY McCORMICK/GRAEME FECHNEY",10000.00,15:29:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",364059,4,2,"Yeah Right","5","g",58.00,3,2.24.79,0.37.97,4.10," 1 3/4 LEN","Les and Richard Didham","Riccarton Park",6.10,1.90,700.00,"Sam Weatherley",58.00,0.00,61,0,0,"Approved Plates, Lugging Bit, Blinkers",241092,"ALAMOSA (NZ) 2004",249105,"HELL YEAH (NZ) 2005",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211548,6,,Flat,2200,"Rating 65&JMPS Benchmark*","GARY McCORMICK/GRAEME FECHNEY",10000.00,15:29:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",361806,5,8,"See Whata Princess","4","m",57.00,8,2.26.01,0.39.35,11.50," ","Fraser Auret","Marton",5.20,0.00,200.00,"Samantha Wynne",57.00,0.00,63,0,0,"Approved Plates, Lugging Bit",230462,"DARCI BRAHMA (NZ) 2002",234501,"OWHATA PRINCESS (NZ) 2003",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211548,6,,Flat,2200,"Rating 65&JMPS Benchmark*","GARY McCORMICK/GRAEME FECHNEY",10000.00,15:29:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",330830,6,7,"Vermont","6","m",56.50,2,2.24.39,0.37.84,1.80," 2 1/4 LEN","Sarah & Matthew Smith","Ashburton",6.50,1.80,1500.00,"Corey Campbell",55.50,1.00,62,0,0,"Approved Plates, Standard Bit, Blinkers",278104,"MASTERCRAFTSMAN (IRE) 2006",253135,"TEKEELA (NZ) 2006",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211548,6,,Flat,2200,"Rating 65&JMPS Benchmark*","GARY McCORMICK/GRAEME FECHNEY",10000.00,15:29:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",310083,7,5,"Master Courtsman","8","g",56.50,4,2.25.07,0.38.61,5.90," 1 1/4 LEN","Tony Corric","New Plymouth",14.50,0.00,400.00,"Courtney Barnes",56.50,0.00,58,68,0,"Approved Plates, Lugging Bit, Blinkers",278104,"MASTERCRAFTSMAN (IRE) 2006",169507,"EVOLUTION (NZ) 1993",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211548,6,,Flat,2200,"Rating 65&JMPS Benchmark*","GARY McCORMICK/GRAEME FECHNEY",10000.00,15:29:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",351192,8,6,"Reliably Perky","6","m",56.00,1,2.24.12,0.37.11,," 1 3/4 LEN","Andrew Carston","Riccarton Park",7.80,2.40,5400.00,"Kylie Williams",56.00,0.00,61,0,0,"Approved Plates, Lugging Bit, Blinkers",313564,"RELIABLE MAN (GB) 2008",254239,"PERKY 'N' READY (NZ) 2006",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211548,6,,Flat,2200,"Rating 65&JMPS Benchmark*","GARY McCORMICK/GRAEME FECHNEY",10000.00,15:29:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",329379,10,1,"Colorado Miss","6","m",55.00,7,2.25.94,0.38.73,11.10," ","Cheri Trembath","Ashburton",7.30,0.00,200.00,"Chris Johnson",55.00,0.00,59,0,0,"Approved Plates, Lugging Bit, Blinkers",241092,"ALAMOSA (NZ) 2004",230243,"TURFSTAR (NZ) 2002",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211548,6,,Flat,2200,"Rating 65&JMPS Benchmark*","GARY McCORMICK/GRAEME FECHNEY",10000.00,15:29:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",344981,11,9,"Last Letter","5","m",54.00,5,2.25.28,0.37.78,7.20," ","Kenny Moore","Rangiora",39.40,0.00,200.00,"Akshay Balloo",54.00,0.00,55,0,0,"Approved Plates, Lugging Bit, Side Winkers, Bandages, Tongue Tie",226925,"ZED (NZ) 2002",266137,"RULES THE STORM (NZ) 2008",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211549,7,,Flat,1400,"Rating 65 Benchmark*","HEARTLAND PRINT",10000.00,16:04:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",372085,1,11,"Maneki Neko","3","g",59.00,1,1.27.44,0.37.18,," 1 3/4 LEN","Terri Rae","Riccarton Park",4.40,2.20,5400.00,"Krishna Mudhoo",59.00,0.00,63,0,0,"Approved Plates, Lugging Bit, Blinkers",255989,"IFFRAAJ (GB) 2001",256271,"KITT ANN MISS (AUS) 2005",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211549,7,,Flat,1400,"Rating 65 Benchmark*","HEARTLAND PRINT",10000.00,16:04:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",375021,2,8,"Show Bazz","3","g",59.00,9,1.29.06,0.38.01,9.50," ","Kevin & Pam Hughes","Riccarton Park",4.30,0.00,200.00,"Kavish Chowdhoory",58.00,1.00,63,0,0,"Approved Plates, Lugging Bit, Blinkers, Tongue Tie",287687,"SHOWCASING (GB) 2007",272830,"THE IFFRAAJ DAME (NZ) 2009",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211549,7,,Flat,1400,"Rating 65 Benchmark*","HEARTLAND PRINT",10000.00,16:04:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",340072,3,12,"The Garrison","5","g",58.00,3,1.27.77,0.36.82,2.00," NOSE","Andrew Carston","Riccarton Park",11.80,3.70,700.00,"Kylie Williams",58.00,0.00,61,0,0,"Approved Plates, Lugging Bit, Side Winkers, Nose Band",241092,"ALAMOSA (NZ) 2004",267128,"BELLE VIDA (NZ) 2008",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211549,7,,Flat,1400,"Rating 65 Benchmark*","HEARTLAND PRINT",10000.00,16:04:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",362172,4,9,"Curve","4","g",57.50,11,1.30.27,0.38.56,16.60," ","Michael & Matthew Pitman","Yaldhurst, Riccarton Park",18.00,0.00,200.00,"Meghann Gestain",53.50,4.00,60,0,0,"Approved Plates, Lugging Bit, Blinkers",287689,"MAKFI (GB) 2007",268984,"BELLAPIN (NZ) 2008",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211549,7,,Flat,1400,"Rating 65 Benchmark*","HEARTLAND PRINT",10000.00,16:04:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",319891,5,3,"O'He Can","7","g",57.50,4,1.27.77,0.37.16,2.10," NECK","Stephen Marsh","Cambridge",9.80,0.00,400.00,"Samantha Wynne",57.50,0.00,60,0,0,"Approved Plates, Lugging Bit",172521,"O'REILLY (NZ) 1993",249191,"CANCAN (NZ) 2005",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211549,7,,Flat,1400,"Rating 65 Benchmark*","HEARTLAND PRINT",10000.00,16:04:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",367392,7,2,"Call Me Coquetta","4","m",56.50,7,1.28.45,0.37.26,6.00," ","Stephen Marsh","Cambridge",11.20,0.00,200.00,"Sam Weatherley",56.50,0.00,62,0,0,"Approved Plates, Lugging Bit, Ear Covers (1st time)",268744,"BURGUNDY (NZ) 2008",203200,"GRACE THE BRIDE (NZ) 1998",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211549,7,,Flat,1400,"Rating 65 Benchmark*","HEARTLAND PRINT",10000.00,16:04:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",384677,8,1,"Charlie Brown","6","g",56.50,6,1.28.06,0.37.61,3.70," ","Bruce Tapper","Timaru",48.60,0.00,200.00,"Rahul Beeharry",54.50,2.00,58,0,0,"Approved Plates, Lugging Bit, Cheek Burrs (1st time), Tongue Tie",256237,"MINSTREL COURT (AUS) 2005",222012,"SWEET CHARIOT (NZ) 2001",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211549,7,,Flat,1400,"Rating 65 Benchmark*","HEARTLAND PRINT",10000.00,16:04:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",343416,10,10,"Arnage","5","m",55.50,2,1.27.72,0.37.55,1.80," 1/2 NECK","Jackie Burrows","Rolleston",9.10,2.90,1500.00,"Rohan Mudhoo",53.50,2.00,60,0,0,"Approved Plates, Lugging Bit",280637,"PER INCANTO (USA) 2004",279872,"MADLY BENTLEY (AUS) 2008",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211549,7,,Flat,1400,"Rating 65 Benchmark*","HEARTLAND PRINT",10000.00,16:04:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",358276,11,7,"Sorceress","4","m",55.50,10,1.29.31,0.38.55,11.00," ","Andrew Carston","Riccarton Park",10.30,0.00,200.00,"Courtney Barnes",55.50,0.00,60,0,0,"Approved Plates, Lugging Bit, Ear Covers",287687,"SHOWCASING (GB) 2007",243414,"GELINDA (NZ) 2004",
49737,2021-05-12,6,"Ashburton","Industry","Race","Ashburton RC","ASHBURTON RC 12 MAY","Slow",7,"Fine","Out 3m | 17mm Rain Overnight | 3mm Rain Since 6.30am",211549,7,,Flat,1400,"Rating 65 Benchmark*","HEARTLAND PRINT",10000.00,16:04:00,"N",54.00,"Unrestricted","Rating 65","unrestricted","hcp","Slow",7,"Fine",335599,12,5,"Elva","6","m",55.00,8,1.28.62,0.38.02,7.00," ","Andrew Carston","Riccarton Park",31.60,0.00,200.00,"Chris Johnson",55.00,0.00,59,0,0,"Approved Plates, Lugging Bit, Side Winkers",247999,"EL HERMANO (NZ) 2005",215092,"ANNCHIPS (NZ) 2000",
